State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/21/2019,Percent relative humidity,None,24,100,75.916667,86,3,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/22/2019,Percent relative humidity,None,24,100,75.291667,94,5,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/23/2019,Percent relative humidity,None,24,100,75.25,89,23,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/24/2019,Percent relative humidity,None,24,100,74.333333,92,3,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/25/2019,Percent relative humidity,None,24,100,67.083333,91,1,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/26/2019,Percent relative humidity,None,24,100,69.416667,92,4,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/27/2019,Percent relative humidity,None,24,100,76.875,90,23,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/28/2019,Percent relative humidity,None,24,100,70.375,94,4,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/29/2019,Percent relative humidity,None,24,100,66.416667,87,1,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
6,37,1302,62201,1,33.901389,-118.205,WGS84,Relative Humidity ,1 HOUR,,3/30/2019,Percent relative humidity,None,24,100,52.083333,87,4,,61,Instrumental - Met One 083D,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",3/27/2020
